DEPTH,PHIE,SWE,VSH,PERM_TIM,GR,CALI,RHOB,ILD,NPHI
3019.3488,0.079,0.059,0.148,0.139,48.0155983,12.2191,2.126100063,36.40230179,27.14660072
3019.5012,0.093,0.065,0.179,0.285,50.48460007,12.21889973,2.118499994,27.30360031,27.36510086
3019.6536,0.096,0.06,0.216,0.332,53.14720154,12.21860027,2.123500109,24.60790062,26.9715004
3019.806,0.091,0.062,0.233,0.255,54.27529907,12.2184,2.133500099,22.23810005,26.74090004
3019.9584,0.072,0.061,0.245,0.089,55.00139999,12.21809959,2.157599926,21.4095993,26.94269943
3020.1108,0.054,0.085,0.258,0.024,55.7784996,12.19789982,2.180799961,14.5472002,28.1548996
3020.568,0.003,1,0.425,0.0,64.15480042,12.23719978,2.266799927,12.56649971,29.16889954
3020.7204,0,1,0.425,0.0,64.1529007,12.23690033,2.290600061,12.33269978,28.96299934
3020.8728,0,1,0.425,0.0,64.14929962,12.25669956,2.291199923,12.46850014,29.26350021
3021.0252,0,1,0.38,0.0,62.21149826,12.24960041,2.270900011,13.0479002,29.19389916
3021.1776,0.017,0.077,0.314,0.0,58.96469879,12.23620033,2.233099937,13.23939991,29.33119965
3021.33,0.024,0.099,0.237,0.001,54.52220154,12.23589993,2.210599899,13.5564003,28.46439934
3021.7872,0.039,0.111,0.206,0.006,52.44150162,12.25520039,2.186399937,14.00440025,27.81340027
